Code PVF2;Syntaxon
F44-22;Ranunculo lanuginosi – Adenostyletum alliariae de Foucault & Corriol 2013
F44-23;Cicerbito alpinae – Adenostyletum alliariae (Beger 1922) Braun-Blanq. 1950
F44-24;Hugueninio tanacetifoliae – Adenostyletum alliariae Lacoste ex de Foucault & Lacoste 2013
F44-25;Myrrhido odoratae – Adenostyletum alliariae Braun-Blanq. 1969
F44-26;Polygono bistortae – Eryngietum alpini Géhu-Franck & Géhu 1984
F44-27;Senecioni balbisiani – Peucedanetum ostruthii Quézel 1950
F44-28;Peucedano ostruthii – Cirsietum spinosissimi G. & J. Braun-Blanq. 1931
F44-29;Salici lapponum – Luzuletum desvauxii (Luquet 1926) de Foucault & Corriol 2013
F44-30;Veratro albi – Luzuletum desvauxii Michalet & Philippe 1994
F44-31;Pediculari foliosae – Geranietum sylvatici Michalet & Philippe 1994
F44-32;Arunco dioici – Petasitetum albi Braun-Blanq. & Sutter 1977
F44-33;Valeriano rotundifoliae – Adenostyletum briquetii Gamisans 1977
F45-01;Carici piluliferae – Pseudarrhenatheretum longifolii (Allorge 1941) de Foucault 1986
F45-02;Simethido planifoliae – Pseudarrhenatheretum longifolii de Foucault 1986
F45-03;Agrostio curtisii – Avenuletum sulcatae de Foucault (1986) 1993
F45-04;Agrostietum capillari – curtisii Wattez & Godeau ex de Foucault 1993
F45-05;Carici binervis – Agrostietum curtisii de Foucault & Géhu ex de Foucault 2012
F45-06;Gladiolo dubii – Agrostietum curtisii de Foucault 1993 corr. 2008
F45-07;Potentillo erectae – Centaurietum scilloidis (Lemée 1938) de Foucault 1995
F45-08;Galio hercynici – Festucetum tenuifoliae Rasch ex Stieperaere 1969
F45-09;Hyperico maculati – Meetum athamantici (Schumacker 1975) de Foucault & Schumacker 2012
F45-10;Jasiono laevis – Danthonietum decumbentis Loidi 1983
F45-11;Polygalo vulgaris – Nardetum strictae Oberd. 1957
F45-12;Galio saxatilis – Festucetum rubrae Oberd. 1957
F45-13;Diantho sylvatici – Meetum athamantici (Luquet 1926) de Foucault 1986
F45-14;Festuco rubrae – Genistetum sagittalis Issler 1927 emend. Oberd. 1957
F45-15;Arnicetum montanae Schwick. 1944
F45-16;Lathyro montani – Nardetum strictae Sougnez 1977
F45-17;Omalotheco sylvaticae – Nardetum strictae Gillet in Ferrez et al. 2001
F45-18;Polygalo vulgaris – Caricetum caryophylleae Misset 2002
F45-19;Polygalo vulgaris – Alchemilletum xanthochlorae Misset 2005
F45-20;Aveno pratensis – Genistelletum sagittalis (Kuhn 1937) Oberd. 1957
F45-21;Thymo pulegioidis – Festucetum rubrae Oberd. & Görs in Görs 1968
F45-22;Carici arenariae – Luzuletum campestris de Foucault 2008
F45-23;Carici trinervis – Nardetum strictae de Foucault et al. 1978
F45-24;Platanthero bifoliae – Serapiadetum linguae de Foucault et al. 1992
F45-25;Orchido morionis – Serapiadetum linguae de Foucault 1986
F45-26;Carici binervis – Nardetum strictae (Pethybridge & Praeger 1905) Braun-Blanq. & Tüxen 1952
F45-27;Caro verticillati – Juncetum squarrosi de Foucault & Philippe in Royer et al. 2006
F45-28;Nardo strictae – Juncetum squarrosi Büker ex P. Duvign. 1949
F45-29;Polygalo vulgaris – Caricetum paniceae Misset 2002
F45-30;Gentiano pneumonanthes – Nardetum strictae Preising 1950 nom. invers. Stieperaere 1990
F45-31;Violo luteae – Nardetum strictae (Issler 1927) Oberd. 1957
F45-32;Leontodonto helvetici – Nardetum strictae Bartsch & Bartsch 1940
F45-33;Diantho sylvatici – Leontodontetum pyrenaici Billy 2000
F45-34;Brizo mediae – Agrostietum capillaris Thébaud 2006
F45-35;Trifolio alpini – Nardetum strictae Thébaud 2006
F45-36;Luzulo multiflorae – Nardetum strictae Thébaud 2006
F45-37;Campanulo rotundifoliae – Nardetum strictae Béguin in Theurillat & Béguin 1985
F45-38;Daphno cneori – Nardetum strictae Ritter 1972
F45-39;Dactylorhizo latifoliae – Nardetum strictae Ritter & de Foucault 2012
F45-40;Festuco rubrae – Nardetum strictae Braun-Blanq. 1926
F45-41;Potentillo aureae – Nardetum strictae Braun-Blanq. 1950 emend. Rivas-Mart. & Géhu 1978
F45-42;Endressio pyrenaicae – Nardetum strictae Vigo 1972
F45-43;Polygalo serpyllifoliae – Nardetum strictae Nègre 1969 nom. inv. prop.
F45-44;Alchemillo flabellatae – Nardetum strictae Gruber 1975
F45-45;Botrychio lunariae – Nardetum strictae Peeters & Vanden Berghen 1981
F45-46;Trifolio thalii – Nardetum strictae Rivas-Mart. et al. 1991
F45-47;Festuco microphyllae – Nardetum strictae Tüxen & Oberd. 1958
F45-48;Selino pyrenaei – Nardetum strictae Braun-Blanq. 1948
F45-49;Trifolio alpini – Selinetum pyrenaei Nègre 1969
F45-50;Trifolio alpini – Phleetum gerardi  Braun-Blanq. 1948
F45-51;Festuco scabriculmis – Potentilletum valderiae Guin. 1938 emend. Lacoste 1975
F45-52;Leontodonto helvetici – Alchemilletum alpinae Lacoste 1975
F45-53;Ranunculo pyrenaei – Alopecuretum gerardi Lippmaa ex Guin. 1938
F45-54;Nigritello cornelianae – Nardetum strictae Barbero 1970
F45-55;Phyteumato michelii – Poetum violaceae Barbero 1970
F45-56;Anthoxantho odorati – Veronicetum allionii Lavagne et al. 1983
F45-57;Trifolio alpini – Poetum violaceae Lavagne et al. 1983 nom. inval.
F45-58;Avenetum parlatorei Lavagne et al. 1983
F45-59;Lathyro lutei – Crepidetum blattarioidis Braun-Blanq. 1972
F45-60;Centaureo uniflorae – Festucetum spadiceae Lippmaa 1933
F45-61;Junipero nanae – Festucetum paniculatae Nègre 1950
F45-62;Anemono alpinae – Meetum athamantici Lippmaa 1933
F45-63;Campanulo ficarioidis – Festucetum eskiae Braun-Blanq. 1948 corr. Gruber 1975
F45-64;Hieracio hypeuryi – Festucetum spadiceae Braun-Blanq. 1948 corr. Corriol 2008
F45-65;Trifolio alpini – Festucetum eskiae Nègre 1974
F45-66;Galio cespitosi – Festucetum eskiae Nègre 1974
F45-67;Scorzonero aristatae – Festucetum paniculatae Nègre, Dendaletche &Villar 1975
F45-68;Irido xiphioidis – Festucetum paniculatae Nègre 1968
F45-69;Galeopsio pyrenaicae – Festucetum eskiae Nègre 1974
F45-70;Ranunculo pyrenaei – Festucetum eskiae Nègre 1969
F45-71;Androsaco laggeri – Festucetum eskiae Gruber 1975
F45-72;Luzulo spadiceae – Festucetum eskiae tenuifoliae Nègre & Serve 1979 nom. inv. prop.
F45-73;Sagino piliferae – Caricetum caryophylleae Gamisans 1977
F45-74;Ophioglosso azorici – Nardetum strictae Gamisans 1976
F45-75;Paronychio polygonifoliae – Armerietum multicipitis Gamisans 1977
F45-76;Acini corsici – Tanacetetum tomentosi Litard. & Malcuit ex Gamisans 1977
F45-77;Geo montani – Phleetum brachystachyi Gamisans 1977
F45-78;Gnaphalio supini – Sibbaldietum procumbentis Gamisans 1977
F45-79;Polygono alpini – Luzuletum sieberi Gamisans 1977
F45-80;Huperzio selaginis – Caricetum ornithopodae Gamisans 1977
F46-01;Tamaricetum gallicae Braun-Blanq. & O. Bolòs 1958
F46-02;Solano dulcamarae – Tamaricetum gallicae de Foucault 2008
F46-03;Inulo crithmodis – Tamaricetum africanae Gamisans 1992
F46-04;Althaeo officinalis – Tamaricetum africanae Gamisans 1992
F46-05;Rubo ulmifolii – Nerietum oleandri O. Bolòs 1956
F46-06;Vinco majoris – Viticetum agni-casti O. Bolòs 1956
F46-07;Nerio oleandri – Viticetum agni-casti Paradis 2006
F46-08;Rubo ulmifolii – Viticetum agni-casti Paradis 2006
F46-09;Erico scopariae – Nerietum oleandri (Lavagne & Moutte 1971) de Foucault, Bensettiti, Noble & Paradis 2012
F48-01;Erico tetralicis – Sphagnetum magellanici (Osvald 1923) J.J. Moore 1968
F48-02;Erico tetralicis – Sphagnetum rubelli (Allorge 1926) Lemée ex Thébaud 2012
F48-03;Sphagno subnitentis – Narthecietum ossifragi Touffet ex Clément & Touffet 1980 nom. mut. propos. Thébaud 2012
F48-04;Narthecio ossifragi – Sphagnetum auriculati Lieurade & Thomassin in Thébaud 2012
F48-05;Ericetum tetralicis (P. Allorge 1922) Jonas ex Thébaud 2012
F48-06;Sphagno compacti – Ericetum tetralicis (Clément 1981) Thébaud 2012
F48-07;Sphagno compacti – Trichophoretum germanici (Oberd.) J. & M. Bartsch 1940
F48-08;Sphagno tenelli – Trichophoretum cespitosi Osvald 1925
F48-09;Sphagnetum magellanici M. Kästner & Flössner 1933
F48-10;Vaccinio microcarpi – Sphagnetum fusci Thébaud & Pétel 2008
F48-11;Eriophoro vaginati – Vaccinietum uliginosi de Foucault 1999
F48-12;Dicrano bergeri – Callunetum vulgaris Thébaud & Pétel 2008
F48-13;Eriophoro vaginati – Trichophoretum cespitosi Osvald 1923
F48-14;Avenello flexuosae – Sphagnetum capillifolii Thébaud & Pétel 2008
F48-15;Eriophoro vaginati – Sphagnetum angustifolii K. Hueck corr. Thébaud & Pétel 2008
F48-16;Carici nigrae – Sphagnetum magellanici Bick 1985 nom. mut.
F53-01;Bryo argentei – Saginetum procumbentis Diemont et al. 1940 corr. Rivas-Mart. et al. 2002
F53-02;Herniarietum glabrae (Hohenester 1960) Hejný & Jehlík 1975
F53-03;Poo annuae – Plantaginetum coronopodis (Le Neveu 1978) de Foucault 2008
F53-04;Rumici acetosellae – Spergularietum rubrae Hülbusch 1973
F53-05;Polygono avicularis – Scleranthetum uncinati de Foucault & Terrisse in de Foucault 1987
F53-06;Poo annuae – Coronopodetum squamati (Oberd. 1957) Gutte 1966
F53-07;Sisymbrio supini – Poetum annuae (J. Duvign. & Worms 1987) Thévenin & Royer in Royer et al. 2006
F53-08;Coronopodo procumbentis – Sclerochloetum durae Braun-Blanq. 1936
F53-09;Sclerochloo durae – Polygonetum arenastri Soó ex Korneck 1969 corr. Mucina in Mucina et al. 1993 
F53-10b;Eleusinetum indicae Pignatti 1953
F53-10;Eragrostio minoris – Polygonetum arenastri Oberd. 1954 corr. Mucina in Mucina et al. 1993
F53-11;Crassulo tillaeae – Saginetum apetalae Rivas-Mart. 1975
F53-12;Trifolio suffocati – Plantaginetum coronopodis de Foucault 2010
F60-01;Sagino maritimae – Cochlearietum danicae Tüxen 1957
F60-02;Sagino maritimae – Catapodietum marini Tüxen in Tüxen & Westhoff 1963
F60-03;Catapodio marini – Parapholidetum incurvae Géhu & de Foucault 1978
F60-04;Soncho oleracei – Cochlearietum danicae Géhu & de Foucault ex de Foucault & Bioret 2010
F60-05;Desmazerio marinae – Brometum ferronii Bioret 1994
F60-06;Catapodio marini – Trifolietum scabri Géhu & de Foucault 1978
F60-07;Bromo ferronii – Trifolietum arvensis Géhu 2008
F60-08;Catapodio marini – Evacetum rotundatae Géhu et al. 1989
F60-09;Senecioni leucanthemifolii – Nanantheetum perpusillae Gamisans ex Biondi, Filigheddu & Farris 2001
F60-10;Parapholido strigosae – Saginetum maritimae Géhu 1976
F60-11;Hymenolobo procumbentis – Saginetum maritimae Géhu et de Foucault ex de Foucault & Bioret 2010
F60-12;Sagino maritimae – Spergularietum marinae Bioret 2006
F60-13;Spergularietum marinae Molin. & Tallon 1970
F60-14;Spergularietum heldreichii Molin. & Tallon 1970
F60-15;Parapholido strigosae – Hordeetum marini Géhu, Caron & Bon ex Géhu & de Foucault 1978
F60-16;Junco bufonii – Chenopodietum chenopodioidis Géhu & Géhu-Franck 1984
F60-17;Polypogonetum subspathacei Gamisans 1990
F60-18;Centaurio acutiflori – Hordeetum gussoneani Gamisans 1990
F65b-01;Simethido mattiazzii – Serapiadetum linguae de Foucault, Paradis & Pozzo di Borgo 2012
F66-01;Echio lycopsis – Galactitetum tomentosae Molin. 1937
F66-02;Alyssetum corsici Molin. 1959 in Julve 1993
F66-03;Trifolio cherleri – Taeniatheretum capitis–medusae Rivas-Mart. & Izco 1977
F66-04;Medicagini rigidulae – Aegilopetum geniculatae Rivas-Mart. & Izco 1977
F66-05;Bromo tectorum – Stipetum capensis Rivas-Mart. & Izco 1977
F66-06;Carduo tenuiflori – Onopordetum illyrici (Molin. & Tallon 1950) de Foucault 2012
F66-07;Asphodelo fistulosi – Hordeetum leporinum A. & O. Bolòs 1950 prov. in A. Bolòs 1950
F66-08;Hordeetum leporinum Braun-Blanq. 1936
F66-09;Laguro ovati – Vulpietum membranaceae Géhu & Géhu-Franck 1985
F66-10;Laguro ovati – Vulpietum fasciculatae Géhu & Géhu-Franck 1985
F66-11;Laguro ovati – Brometum rigidi Géhu & Géhu-Franck 1985
F66-12;Laguro ovati – Hordeetum leporinum Géhu & Géhu-Franck 1985
F66-13;Laguro ovati – Avenetum barbatae Géhu 2008
F66-14;Laguro ovati – Diplotaxietum tenuifoliae Géhu 2008
F66-15;Laguro ovati – Centaureetum asperae Géhu 2000
F66-16;Hordeo murinum – Arctothecetum calendulae Campos et al. 2010
F66-17;Chenopodietum muralis Braun- Blanq. & Maire ex Braun- Blanq. 1936
F66-18;Amarantho blitoidis – Chenopodietum ambrosioidis O. Bolòs 1967
F66-19;Chenopodio muralis – Atriplicetum hastatae Braun-Blanq. & De Leeuw 1936
F66-20;Chenopodio vulvariae – Atriplicetum roseae Molin. & Tallon 1970
F66-21;Lavateretum cretico – arboreae Braun-Blanq. & Molin. 1935
F66-22;Malvetum parvifloro – nicaeensis Braun-Blanq. & Maire 1924
F66-23;Erigeronto canadensis – Lactucetum serriolae Lohmeyer ex Oberd. 1957
F66-24;Lactuco serriolae – Sisymbrietum altissimi Lohmeyer ex Kienast 1978
F66-25;Sisymbrio sophiae – Atriplicetum oblongifoliae Oberd. 1957
F66-26;Sisymbrietum loeselii Gutte 1972
F66-27;Chenopodietum stricti Oberd. 1957
F66-28;Sisymbrio austriaci – Asperuginetum procumbentis Braun- Blanq. ex Rebholz 1931
F66-29;Vulpio myuri – Erigerontetum canadensis Petit 1979
F66-30;Urtico urentis – Malvetum neglectae W. Lohmeyer ex Grosse-Brauckmann 1954
F66-31;Chenopodio vulvariae – Malvetum neglectae Gutte 1972
F66-31;Chenopodietum vulvariae Gutte & Pysek 1976
F66-32;Hyoscyamo nigri – Malvetum neglectae Aichinger 1933
F66-33;Geranio mollis – Hordeetum murinum Géhu 2008
F66-34;Sisymbrio officinalis – Hordeetum murinum Braun-Blanq. 1967
F66-35;Hordeetum murinum Allorge 1922
F66-36;Coronopodo procumbentis – Centaureetum calcitrapae Quantin 1947
F66-37;Chenopodietum botryos G. Phil. ex Sukopp 1973
F66-38;Plantagini indicae – Senecionetum viscosi G. Phil. ex Eliáš 1986
