Auteur;Date;Titre;Editeur;Auteur - Titre
Delelis-Dussolier A.;1988;Phytosociologie appliquée à la protection des bocages: l'exemple du Boulonnais;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 551";Delelis-Dussolier A. - Phytosociologie appliquée à la protection des bocages: l'exemple du Boulonnais - 1988
Delelis-Dussolier A.;1991;Le paysage vu dans les bocages - relations avec les types phytosociologiques;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 347-364";Delelis-Dussolier A. - Le paysage vu dans les bocages - relations avec les types phytosociologiques - 1991
Delelis-Dussolier A. & Géhu J.-M.;1975;Apport à la phytosociologie de quelques forêts thermo-acidiphiles ligériennes et de leurs stades d’altération.;"Coll. Phytosoc. III, ""La végétation des forêts caducifoliées acidiphiles"", Lille 1974 : 141-159.";Delelis-Dussolier A. & Géhu J.-M. - Apport à la phytosociologie de quelques forêts thermo-acidiphiles ligériennes et de leurs stades d’altération. - 1975
Delpech R.;1970;Contribution à l'étude de quelques prairies et alpages du massif de la Vanoise.;Travaux Scientifiques du Parc National de la Vanoise, I, p. 50-59;Delpech R. - Contribution à l'étude de quelques prairies et alpages du massif de la Vanoise. - 1970
Delpech R.;1978;Influences de quelques facteurs anthropozoogènes sur la dynamique de communautés prairiales et leur interprétations phytosociologiques;Doc. Phytosoc., NS, II: 107-115;Delpech R. - Influences de quelques facteurs anthropozoogènes sur la dynamique de communautés prairiales et leur interprétations phytosociologiques - 1978
Delpech R.;1982;La végétation prairiale, reflet du milieu et des techniques (1);Bull. techn. inform. Minist. Agric., 363-373;Delpech R. - La végétation prairiale, reflet du milieu et des techniques (1) - 1982
Delpech R.;1985;"Une méthode de diagnostic utilisant la connaissance des affinités sociologiques des taxons; application à des phytocénoses commensales de cultures";"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 401-416";"Delpech R. - Une méthode de diagnostic utilisant la connaissance des affinités sociologiques des taxons; application à des phytocénoses commensales de cultures - 1985"
Delpech R.;1986;"Relations entre un type de modèle périglaciaire (réseaux de buttes gazonnées ou ""thufurs"" et les végétations d'altitude; incidences phytosociologiques";"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 221-230";"Delpech R. - Relations entre un type de modèle périglaciaire (réseaux de buttes gazonnées ou ""thufurs"" et les végétations d'altitude; incidences phytosociologiques - 1986"
Delpech R.;1988;Possibilités d'application de la phytosociologie à la gestion écologique et conservatoire des communautés herbacées d'altitude de grand intérêt biologique;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 487-507";Delpech R. - Possibilités d'application de la phytosociologie à la gestion écologique et conservatoire des communautés herbacées d'altitude de grand intérêt biologique - 1988
Delpech R.;1988;Intérêt de la phytosociologie actuelle pour la typologie, l'évaluation et la gestion des écosystèmes;"4e colloque national de l'AFIE organisé en collaboration avec la Société d'Ecologie : ""La gestion des systèmes écologiques : des progrès de la recherche au développement des techniques"", Bordeaux, 14-15-16 mai 1987, 39-52";Delpech R. - Intérêt de la phytosociologie actuelle pour la typologie, l'évaluation et la gestion des écosystèmes - 1988
Delpech R.;1988;Apport de la phytosociologie à lélaboration d'une typologie de stations potentiellement forestières: exemple des Landes du Vivarais Cévenol;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  363-373";Delpech R. - Apport de la phytosociologie à lélaboration d'une typologie de stations potentiellement forestières: exemple des Landes du Vivarais Cévenol - 1988
Delpech R.;1988;Possibilités d'application de la phytosociologie à la gestion écologique et conservatoire des communautés herbacées d'altitude de grand intérêt biologique;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 487-507";Delpech R. - Possibilités d'application de la phytosociologie à la gestion écologique et conservatoire des communautés herbacées d'altitude de grand intérêt biologique - 1988
Delpech R.;1989;Historique de la phytosociologie herbagère en Europe occidentale partuiculièrement en France;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 23-59";Delpech R. - Historique de la phytosociologie herbagère en Europe occidentale partuiculièrement en France - 1989
Delpech R.;1989;Conditions d'application des méthodes et résultats de la phytosociologie stigmatiste aux problèmes d'utilisation et d'aménagement des herbages;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 61-74";Delpech R. - Conditions d'application des méthodes et résultats de la phytosociologie stigmatiste aux problèmes d'utilisation et d'aménagement des herbages - 1989
Delpech R.;1989;Phytosociologie et pastoralisme: origine, finalités, thèmes et orientations du colloque (exposé introductif);"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 7-21";Delpech R. - Phytosociologie et pastoralisme: origine, finalités, thèmes et orientations du colloque (exposé introductif) - 1989
Delpech R.;1993;Deux clés essentielles pour la gestion raisonnée des prairies permanentes : typologie des peuplements et bioindicateurs;Fourrages, 133, 3-21;Delpech R. - Deux clés essentielles pour la gestion raisonnée des prairies permanentes : typologie des peuplements et bioindicateurs - 1993
Delpech R. & De Foucault B.;1985;Comparaisons entre quelques mégaphorbiaies des Alpes du Nord et du massif Central;"Coll. Phytosoc. XII, ""Séminaire Mégaphorbiaies"", Bailleul 1984: 49-65";Delpech R. & De Foucault B. - Comparaisons entre quelques mégaphorbiaies des Alpes du Nord et du massif Central - 1985
Dénes B.;2008;Forest associations of Hungary.;Tilia XIV, Lövértprint, Sopron, 489p.  ;Dénes B. - Forest associations of Hungary. - 2008
Dengler J.;2004;21. Klasse: Koelerio-Corynephoretea - Sandtrockenrasen und Felsgrusfluren von der submeridionalen bis zur borealen Zone.;In Naturschutz u. Geologie, Mecklenburg-Vorpommern Landesamt f. Umwelt Die Pflanzengesellschaften Mecklenburg-Vorpommerns und ihre Gefährdung.Weissdorn , Jena: 301-326.;Dengler J. - 21. Klasse: Koelerio-Corynephoretea - Sandtrockenrasen und Felsgrusfluren von der submeridionalen bis zur borealen Zone. - 2004
Dengler J., Koska I., Timmermann T., Berg C., Clausnitzer U., Isermann M., Linke C., Päzolt J., Polte T. & Spangenberg A.;2004;New descriptions and typifications of syntaxa within the project ' Plant communities of Mecklenburg-Vorpommern and their vulnerability' - Part II.;Feddes Repertorium 115: 343-392. ;Dengler J., Koska I., Timmermann T., Berg C., Clausnitzer U., Isermann M., Linke C., Päzolt J., Polte T. & Spangenberg A. - New descriptions and typifications of syntaxa within the project ' Plant communities of Mecklenburg-Vorpommern and their vulnerability' - Part II. - 2004
Denis M.;1988;Inventaire des gagnages et potentialités alimentaires des forêts pour les cervidés;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  573-583";Denis M. - Inventaire des gagnages et potentialités alimentaires des forêts pour les cervidés - 1988
Denisiuk Z. & Celinski F.;1988;Phytosociologie en tant que base scientifique pour la gestion des espaces protégés en Pologne;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 193-232";Denisiuk Z. & Celinski F. - Phytosociologie en tant que base scientifique pour la gestion des espaces protégés en Pologne - 1988
Dethioux M.;1985;Résistance différentielle des espèces messicoles et des friches aux fortes doses de lisier;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 559-566";Dethioux M. - Résistance différentielle des espèces messicoles et des friches aux fortes doses de lisier - 1985
Dethioux M.;1988;L'apport de la phytosociologie à l'aménagement écologique des cours d'eau;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 581-590";Dethioux M. - L'apport de la phytosociologie à l'aménagement écologique des cours d'eau - 1988
Dethioux M. & Noirfalise A.;1985;La prairie sauvage à Reine des prés (Valeriano-Filipenduletum) en Haute et Moyenne Belgique;"Coll. Phytosoc. XII, ""Séminaire Mégaphorbiaies"", Bailleul 1984: 120-124";Dethioux M. & Noirfalise A. - La prairie sauvage à Reine des prés (Valeriano-Filipenduletum) en Haute et Moyenne Belgique - 1985
Devillez F., Delhaise C.;1986;Groupements forestiers, sols et topographie dans la Fagne de Chimay (Belgique);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 553-573";Devillez F., Delhaise C. - Groupements forestiers, sols et topographie dans la Fagne de Chimay (Belgique) - 1986
Diaz Gonzalez T.E., Fernandez Prieto J. A.;2000;Un nuevo método para la evaluacion de la cubierta vegetal de un Territorio;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 727-739";Diaz Gonzalez T.E., Fernandez Prieto J. A. - Un nuevo método para la evaluacion de la cubierta vegetal de un Territorio - 2000
Didier B. & Royer J.-M.;1989;Étude phytosociologique des prairies de fauche inondables des vallées de l’Aube, de la Seine et de la Marne (Champagne crayeuse).;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 195-209.";Didier B. & Royer J.-M. - Étude phytosociologique des prairies de fauche inondables des vallées de l’Aube, de la Seine et de la Marne (Champagne crayeuse). - 1989
Dierschke H.;1986;Vegetationdifferenzierung im Mikrorelief Nordwestdeutscher sandiger Flusstäler am Beispiel der Meppener Kuhweide (EMS);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 613-631";Dierschke H. - Vegetationdifferenzierung im Mikrorelief Nordwestdeutscher sandiger Flusstäler am Beispiel der Meppener Kuhweide (EMS) - 1986
Dierschke H.;1995;Syntaxonomical survey of Molinio-arrhenatheretea in Central Europe;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 387-399";Dierschke H. - Syntaxonomical survey of Molinio-arrhenatheretea in Central Europe - 1995
Dierschke H. & Tüxen R.;1975;Die Vegetation des Langholter- und Rhauder Meeres und seiner Randgebiete.;Mitt. Flor.-soz. Arbeitsgem NF 18: 157-202.;Dierschke H. & Tüxen R. - Die Vegetation des Langholter- und Rhauder Meeres und seiner Randgebiete. - 1975
Dierssen B. &  Dierssen ;1984;Vegetation und Flora der Schwarzwaldmoore.;Beih. Veröff Naturschutz Landschaftspflege Bad.-Württ. 39: 1-512.;Dierssen B. &  Dierssen  - Vegetation und Flora der Schwarzwaldmoore. - 1984
Dierssen K.;1982;Die wichtigsten Pflanzengesellschaften der Moore NW-Europas.;Conservatoire et jardin botaniques, Genève, 382p.;Dierssen K. - Die wichtigsten Pflanzengesellschaften der Moore NW-Europas. - 1982
Dierssen K.;1989;L'évoluation des groupements influencés par la nappe phréatique dans la plaine du nord-ouest de l'Allemagne. Conséquences pour les mesures d'exploitation extensive et de déprise agricole (friches);"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 483-499";Dierssen K. - L'évoluation des groupements influencés par la nappe phréatique dans la plaine du nord-ouest de l'Allemagne. Conséquences pour les mesures d'exploitation extensive et de déprise agricole (friches) - 1989
Dierssen K.;1996;Vegetation Nordeuropas;Ulmer, 838p.;Dierssen K. - Vegetation Nordeuropas - 1996
Dierssen K.;2001;Bryophytorum Bibliotheca - Band 56 - Distribution, ecological amplitude and phytosociological characterization of European bryophytes;J. CRAMER - BERLIN-STUTTGART, 289 p.;Dierssen K. - Bryophytorum Bibliotheca - Band 56 - Distribution, ecological amplitude and phytosociological characterization of European bryophytes - 2001
Diez Garretas B., Asensi Marfil A.;1994;Revi. sintax. y sinsist. de la clase Rosmarinetea officinalis Br-Bl. 1947 em. Rivas-Martinez, T.E. Diaz, Fdez. Prieto, Loidi & Penas 1991 como base tipologica ... habitats en Andalucia;"Coll. Phytosoc. XXII, ""Syntaxonomie typologique des habitats"", Bailleul 1993: 539-554";Diez Garretas B., Asensi Marfil A. - Revi. sintax. y sinsist. de la clase Rosmarinetea officinalis Br-Bl. 1947 em. Rivas-Martinez, T.E. Diaz, Fdez. Prieto, Loidi & Penas 1991 como base tipologica ... habitats en Andalucia - 1994
Dirkse G.M.;1995;The fourth dutch forest survey, a stratified random approach to vegetation sampling;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 401-416";Dirkse G.M. - The fourth dutch forest survey, a stratified random approach to vegetation sampling - 1995
Doing H.;1986;Relationships between vegetation and geomorphology of costal sand dunes in the Netherlands;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 411-429";Doing H. - Relationships between vegetation and geomorphology of costal sand dunes in the Netherlands - 1986
Drapier J.;1988;Evaluation de la potentialité forestière des stations par l'inventaire forestier national (I.F.N.);"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  545-550";Drapier J. - Evaluation de la potentialité forestière des stations par l'inventaire forestier national (I.F.N.) - 1988
Dring J., Hoda P., Mersinllari M., Mullaj A., Pignatti S., Rodwell J.;2002;Plant communities of Albania - a preliminary overview;"Annali di Botanica, Nuova serie, Volume II, Università degli Studi di Roma ""La Sapienza"", p. 7-30";Dring J., Hoda P., Mersinllari M., Mullaj A., Pignatti S., Rodwell J. - Plant communities of Albania - a preliminary overview - 2002
Dubois J.-J.;1983;Les lisières forestières d'après les anciens plans des forêts de la région du Nord aux XVIIe-XVIII siècles;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 273-285";Dubois J.-J. - Les lisières forestières d'après les anciens plans des forêts de la région du Nord aux XVIIe-XVIII siècles - 1983
Dubois J.-J.;1993;"L'approche de la ""Biogéographie historique"": concepts, méthodes, limites à l'interface de la phytodynamique et de l'histoire forestières";"Coll. Phytosoc. XX, ""Phytodynamique et Biogéographie historique des forêts"", Bailleul 1991: 7-13";"Dubois J.-J. - L'approche de la ""Biogéographie historique"": concepts, méthodes, limites à l'interface de la phytodynamique et de l'histoire forestières - 1993"
Duchaufour Ph.;1988;Groupes écologiques et pédologie: rôle des facteurs de nutrition et de toxicité;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  313-321";Duchaufour Ph. - Groupes écologiques et pédologie: rôle des facteurs de nutrition et de toxicité - 1988
Dume G.;1988;Activités et résultats du groupe de travail sur la typologie des stations forestières;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  289-298";Dume G. - Activités et résultats du groupe de travail sur la typologie des stations forestières - 1988
Dume G., Javellaud J.;1988;Le catalogue des stations forestières de la Chataigneraie limousine;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  375-396";Dume G., Javellaud J. - Le catalogue des stations forestières de la Chataigneraie limousine - 1988
Dumont J.-M, Iserentant R. & Messe V.;1983;Les végétations aquatiques et ripicoles des étangs de la moyenne Ardenne centrale et méridionale (Ardenne Belge).;"Coll. Phytosoc. X, ""Les végétations aquatiques et amphibies"", Lille 1981: 183-211.";Dumont J.-M, Iserentant R. & Messe V. - Les végétations aquatiques et ripicoles des étangs de la moyenne Ardenne centrale et méridionale (Ardenne Belge). - 1983
Dumont J.-M.;1988;Le Luzulo-Fagetum et le Luzulo-Quercetum au plateau de Tailles (Haute Ardenne Belge);"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  167-173";Dumont J.-M. - Le Luzulo-Fagetum et le Luzulo-Quercetum au plateau de Tailles (Haute Ardenne Belge) - 1988
Dumont J.-M.;1988;La conception, la réalisation et l'utilisation de la carte d'évaluation biologique de la Belgique;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 117-126";Dumont J.-M. - La conception, la réalisation et l'utilisation de la carte d'évaluation biologique de la Belgique - 1988
Dumont J.-M. & Beaujot I.;1985;Les moliniaies perchées sur touradons au plateau des Tailles (Haute-Ardenne);"Coll. Phytosoc. XII, ""Séminaire Mégaphorbiaies"", Bailleul 1984: 75-91";Dumont J.-M. & Beaujot I. - Les moliniaies perchées sur touradons au plateau des Tailles (Haute-Ardenne) - 1985
Dumont J.-M. & Lebrun J.;1983;Les haies au pays des Tailles (Haute-Ardenne Belge);"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 381-396";Dumont J.-M. & Lebrun J. - Les haies au pays des Tailles (Haute-Ardenne Belge) - 1983
Dumont J.-M., Stouffs B., De Sloover J.R., Goossens M., Iserentant R. & Messe V.;1986;Les tourbières à Narthecium ossifragum (L.) Huds. À la grande Fange et au Sacrawé (plateau des Tailles-Haute Ardenne Belge);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 711-728";Dumont J.-M., Stouffs B., De Sloover J.R., Goossens M., Iserentant R. & Messe V. - Les tourbières à Narthecium ossifragum (L.) Huds. À la grande Fange et au Sacrawé (plateau des Tailles-Haute Ardenne Belge) - 1986
Dupias G. & Rey P.;1980;Carte des régions écologiques de la France. Carte de végétation 1/1000000.;Service de la Carte de la Végétation CNRS, Toulouse. ;Dupias G. & Rey P. - Carte des régions écologiques de la France. Carte de végétation 1/1000000. - 1980
Dupias G. & Rey P.;1985;Document pour un zonage des régions phyto-écologiques. ;Rapport technique, Toulouse, 39p. ;Dupias G. & Rey P. - Document pour un zonage des régions phyto-écologiques.  - 1985
Dupont P.;1975;Les limites altitudinales des landes atalntiques dan les montagnes cantabriques (nord de l'Espagne);"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 47-58";Dupont P. - Les limites altitudinales des landes atalntiques dan les montagnes cantabriques (nord de l'Espagne) - 1975
Dupouey J.-L.;1988;Intérêt de la notion d'ensemble flou en phytosociologie forestière;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  43-53";Dupouey J.-L. - Intérêt de la notion d'ensemble flou en phytosociologie forestière - 1988
During H.J., Keiser P.J., Van Tooren B.F.;1984;The influence of Bryophytes on Germination and establishment of phanerogams in chalk grassland;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 457-469";During H.J., Keiser P.J., Van Tooren B.F. - The influence of Bryophytes on Germination and establishment of phanerogams in chalk grassland - 1984
Dutoit D.;1924;Les associations végétales des sous-Alpes de Vevey (Suisse).;Thèse, Lausanne, 85p.;Dutoit D. - Les associations végétales des sous-Alpes de Vevey (Suisse). - 1924
Dutoit T., Alard D.;1996;Les pelouses calcicoles du Nord-Ouest de l'Europe (Brometalia erecti Br. BI. 1936) : analyse bibliographique;Ecologie, tome 27 (1), 5-34;Dutoit T., Alard D. - Les pelouses calcicoles du Nord-Ouest de l'Europe (Brometalia erecti Br. BI. 1936) : analyse bibliographique - 1996
Duvigneaud J.;1955;Note sur quelques groupements végétaux de la Fagne marienbourgeoise.;Bull. Soc. Roy. Bot. Belgique 87: 145-155. ;Duvigneaud J. - Note sur quelques groupements végétaux de la Fagne marienbourgeoise. - 1955
Duvigneaud J.;1984;Le pré à Bromus erectus et Thalictrum minus subsp. Majus de la plaine alluviale de la Moselle (Lorraine, France), un groupement du mesobromion en voie de raréfaction et de disparition;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 269-280";Duvigneaud J. - Le pré à Bromus erectus et Thalictrum minus subsp. Majus de la plaine alluviale de la Moselle (Lorraine, France), un groupement du mesobromion en voie de raréfaction et de disparition - 1984
Duvigneaud J.;1984;Les pelouses calcaires de la partie septentrionale de la Champagne crayeuse (département des Ardennes, France): un exemple d'appauvrissement écologique et floristique;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 281-296";Duvigneaud J. - Les pelouses calcaires de la partie septentrionale de la Champagne crayeuse (département des Ardennes, France): un exemple d'appauvrissement écologique et floristique - 1984
Duvigneaud J.;1984;Les pelouses xériques colonisant les falaises calcaires des vallées de l'Ourthe et de l'Amblève (Province de Liège, Belgique): leur importance floristique et phytogéographique;"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 297-309";Duvigneaud J. - Les pelouses xériques colonisant les falaises calcaires des vallées de l'Ourthe et de l'Amblève (Province de Liège, Belgique): leur importance floristique et phytogéographique - 1984
Duvigneaud J.;1985;La végétation des vases et des graviers exondés en Lorraine française (départements de la Meurthe-et-Moselle, de la Meuse et de la Moselle) (ordre des Bidentetalia);"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 449-469";Duvigneaud J. - La végétation des vases et des graviers exondés en Lorraine française (départements de la Meurthe-et-Moselle, de la Meuse et de la Moselle) (ordre des Bidentetalia) - 1985
Duvigneaud J.;1985;Un exemple d'évolution préforestière dans les pelouses calcaires de Lorraine orientale (département de la Moselle, France): la friche nitro-thermophile à Artemisia absinthium;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 471-479";Duvigneaud J. - Un exemple d'évolution préforestière dans les pelouses calcaires de Lorraine orientale (département de la Moselle, France): la friche nitro-thermophile à Artemisia absinthium - 1985
Duvigneaud J.;1989;La végétation des prairies de la plaine alluviale de la Saône (départements de l’Ain, du Rhône et de la Saône-et-Loire).;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 211-231.";Duvigneaud J. - La végétation des prairies de la plaine alluviale de la Saône (départements de l’Ain, du Rhône et de la Saône-et-Loire). - 1989
Duvigneaud J.;1986a;La végétation prairiale de la plaine alluviale de l’Aisne aux environs de Vouziers (Département des Ardennes, France). Influence de la microtopographie sur la durée des inondations et la composition du tapis herbacé.;"Coll. Phytosoc. XIII, ""Végétation et géomorphologie"", Bailleul 1985: 633-654.";Duvigneaud J. - La végétation prairiale de la plaine alluviale de l’Aisne aux environs de Vouziers (Département des Ardennes, France). Influence de la microtopographie sur la durée des inondations et la composition du tapis herbacé. - 1986a
Duvigneaud J.;1986b;La végétation des rives exondées de l’étang de Bairon (Le Chesne, département des Ardennes, France). Influence de la topographie sur la durée de l‘exondation et sur la zonation des groupements végétaux.;"Coll. Phytosoc. XIII, ""Végétation et géomorphologie"", Bailleul 1985: 729-748.";Duvigneaud J. - La végétation des rives exondées de l’étang de Bairon (Le Chesne, département des Ardennes, France). Influence de la topographie sur la durée de l‘exondation et sur la zonation des groupements végétaux. - 1986b
Duvigneaud P.;1947;Remarques sur la végétation des pannes dans les dunes littorales entre La Panne et Dunkerque.;Bull. Soc. Roy. Bot. Belgique LXXIX: 123-140. ;Duvigneaud P. - Remarques sur la végétation des pannes dans les dunes littorales entre La Panne et Dunkerque. - 1947
Duvigneaud P.;1949;Classification phytosociologique des tourbières de l'Europe.;Bull. Soc. Roy. Bot. Belgique 81: 58-129.;Duvigneaud P. - Classification phytosociologique des tourbières de l'Europe. - 1949
Duvigneaud P.;1966;Notes sur la biogéochimie des serpentines du sud-ouest de la France.;Bull. Soc. Roy. Bot. Belgique 99(2): 271-329. ;Duvigneaud P. - Notes sur la biogéochimie des serpentines du sud-ouest de la France. - 1966
Dziuba?towski S.;1928;"Etude phytosociologique du Massif de sainte Croix. I. Les forêts de la partie centrale de la chaïne principale et des montagnes: ""Stawiana"" et ""Miejska"".";Acta Societatis Botanicorum Poloniae V(5): 1-39.;"Dziuba?towski S. - Etude phytosociologique du Massif de sainte Croix. I. Les forêts de la partie centrale de la chaïne principale et des montagnes: ""Stawiana"" et ""Miejska"". - 1928"
Eggler J.;1933;Die Pflanzengesellschaften der Umgebung von Graz.;Repert. spec. nov. regni veget. Beih. 73: 132-169.;Eggler J. - Die Pflanzengesellschaften der Umgebung von Graz. - 1933
El Antri M.;1985;Approche synsystématique des groupements commensaux des cultures du Maroc;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 283-311";El Antri M. - Approche synsystématique des groupements commensaux des cultures du Maroc - 1985
Ermakov N.;1995;Grass forest classification of southern Siberia and Mongolia;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 259-276";Ermakov N. - Grass forest classification of southern Siberia and Mongolia - 1995
Everts H.H., Grootjans A.P. & De Vries N.P.J.;1989;Distribution of Marshplants as guidelines of geohydrological research;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 271-292";Everts H.H., Grootjans A.P. & De Vries N.P.J. - Distribution of Marshplants as guidelines of geohydrological research - 1989
Falinska K.;1991;La dynamique des phytocénoses et des populations dans le paysage des prairies abandonnées;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 459-481";Falinska K. - La dynamique des phytocénoses et des populations dans le paysage des prairies abandonnées - 1991
Falinski J.B.;1986;La relation végétation-formes et processus géomorphologiques: les plus importantes procédures de recherche et les modes d'expression cartographique;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 541-552";Falinski J.B. - La relation végétation-formes et processus géomorphologiques: les plus importantes procédures de recherche et les modes d'expression cartographique - 1986
Falinski J.B.;1991;La dynamique du paysage interprétée par la dynamique de la végétation;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 425-457";Falinski J.B. - La dynamique du paysage interprétée par la dynamique de la végétation - 1991
Falinski J.B.;1995;Végétation dans l'espace. Possibilité d'exprimer au moyen de la syntaxonomie et chorologie;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 9-21";Falinski J.B. - Végétation dans l'espace. Possibilité d'exprimer au moyen de la syntaxonomie et chorologie - 1995
Fascetti S. & Veri L.;1985;Alcuni aspetti della vegetazione sinantropica della citta'aquila e dei dintorni (Abruzzo - Italia Centrale);"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 429-447";Fascetti S. & Veri L. - Alcuni aspetti della vegetazione sinantropica della citta'aquila e dei dintorni (Abruzzo - Italia Centrale) - 1985
Fascetti S. & Veri L.;1985;La vegetazione sinantropica di rocca Calascio paese abbandonato dell'Appennino Centrale (Italia);"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 543-558";Fascetti S. & Veri L. - La vegetazione sinantropica di rocca Calascio paese abbandonato dell'Appennino Centrale (Italia) - 1985
Feldmeyer-Christe E.;1990;Etude phyto-écologique des tourbières des Franches-Montagnes (cantons du Jura et de Berne, Suisse). ;Thèse, Lausanne, 163p.;Feldmeyer-Christe E. - Etude phyto-écologique des tourbières des Franches-Montagnes (cantons du Jura et de Berne, Suisse).  - 1990
Felzines J.-C.;1982;Etude dynamique, sociologique et écologique de la végétation des étangs du centre-est de la France. Importance de la compétition interspécifique dans l’organisation de la végétation et la distribution des espèces et des associations.;Thèse, Lille, 498p.;Felzines J.-C. - Etude dynamique, sociologique et écologique de la végétation des étangs du centre-est de la France. Importance de la compétition interspécifique dans l’organisation de la végétation et la distribution des espèces et des associations. - 1982
Felzines J.-C.;2012;Contribution au prodrome des végétations de France: les Lemnetea minoris Tüxen ex O. Bol?s & Masclans 1955.;J. Soc. Bot. France 59: 189-240. ;Felzines J.-C. - Contribution au prodrome des végétations de France: les Lemnetea minoris Tüxen ex O. Bol?s & Masclans 1955. - 2012
Felzines J.-C. & Lambert E.;2012;Contribution au prodrome des végétations de France: les Charetea fragilis F. Fukarek 1961.;J. Soc. Bot. France 59: 133-188. ;Felzines J.-C. & Lambert E. - Contribution au prodrome des végétations de France: les Charetea fragilis F. Fukarek 1961. - 2012
Feoli E. & Feoli Chiapella L.;1983;Changements of vegetation pattern towards reforestation;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 73-81";Feoli E. & Feoli Chiapella L. - Changements of vegetation pattern towards reforestation - 1983
Fernandez R.;1988;Le catalogue des types de stations forestières des plateaux bourguignons: un exemple d'utilisation;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  585-591";Fernandez R. - Le catalogue des types de stations forestières des plateaux bourguignons: un exemple d'utilisation - 1988
